,P_min,P_max,P_avg,Hi,Hf,Hdiff,t,D,Q,Vavg,Re,Fexp,X,E,Ftheo,dQ/Q,dRe/Re,dFe/Fe
0,19.4,20.0,193.257,5.0,9.5,4.5,30,16.0,0.00011549999999999999,0.5744498727223097,9191.197963556955,0.014641007635142655,0.04662948413183655,0.0007460717461093847,0.017917503962693395,0.008658008658008658,0.8658008680567252,3.5054934333276977
1,28.7,29.2,283.9995,9.5,15.9,6.4,30,16.0,0.00016426666666666666,0.8169953745383961,13071.925992614337,0.010636981124963989,0.04662948413183655,0.0007460717461093847,0.017735571687998688,0.006087662337662338,0.6087662369745671,2.1164013898377316
2,39.6,40.1,390.9285,15.9,24.0,8.1,30,16.0,0.0002079,1.0340097709001577,16544.156334402523,0.009140881028082264,0.04662948413183655,0.0007460717461093847,0.01764361382531657,0.004810004810004809,0.4810004850610278,1.5854247646474373
3,61.9,62.4,609.6915,20.0,30.5,10.5,30,16.0,0.0002695,1.3403830363520561,21446.128581632896,0.008483836756155645,0.04662948413183655,0.0007460717461093847,0.017563640783914525,0.0037105751391465678,0.37105751917832863,1.1008197912607975
4,89.4,89.8,878.976,6.0,19.4,13.4,30,16.0,0.00034393333333333336,1.710584065439767,27369.345047036273,0.007509796720580037,0.04662948413183655,0.0007460717461093847,0.017504721779135056,0.0029075402209730564,0.2907540288147535,0.742489669427707
5,137.8,138.1,1353.2895,6.0,23.2,17.2,30,16.0,0.00044146666666666665,2.1956750690719393,35130.801105151026,0.0070176964596337515,0.04662948413183655,0.0007460717461093847,0.01745727723774571,0.0022651766837813348,0.22651767700052916,0.5161153884257331
6,11.8,12.2,117.72,5.0,7.5,2.5,20,16.0,9.625000000000001e-05,0.4787082272685915,7659.331636297465,0.012842467610927156,0.04662948413183655,0.0007460717461093847,0.018037859471323706,0.010389610389610388,1.0389610408409218,3.9297216323021043
7,28.8,29.3,284.9805,7.5,12.7,5.2,20,16.0,0.00020020000000000004,0.9957131127186705,15931.409803498727,0.0071859915113688414,0.04662948413183655,0.0007460717461093847,0.017656993501694185,0.004995004995004994,0.49950050341065566,1.9935574639266305
8,48.9,49.5,482.652,12.7,19.4,6.7,20,16.0,0.00025795,1.2829380490798252,20527.008785277205,0.007330992036756703,0.04662948413183655,0.0007460717461093847,0.01757577719031832,0.0038767202946307423,0.38767203450116017,1.4498997338158661
9,85.2,86.1,840.2265,5.0,14.8,9.8,20,16.0,0.0003773,1.8765362508928787,30024.580014286057,0.005965165072690585,0.04662948413183655,0.0007460717461093847,0.017485764180470775,0.0026504108136761197,0.26504108873675253,1.1827863483897136
10,94.6,95.7,933.4215,14.8,25.0,10.2,20,16.0,0.0003927,1.9531295672558533,31250.073076093653,0.006117242532818503,0.04662948413183655,0.0007460717461093847,0.017478088300950618,0.0025464731347084285,0.2546473211407646,1.2687467147312548
11,119.8,120.9,1180.6335,7.0,18.9,11.9,20,16.0,0.00045815000000000005,2.278651161798496,36458.41858877594,0.005684593605733038,0.04662948413183655,0.0007460717461093847,0.017451164431713885,0.00218269125832151,0.21826913478039303,1.0197078005125317
12,76.0,78.0,755.37,3.0,4.9,1.9,30,9.6,4.876666666666666e-05,0.6737375050446842,6467.880048428969,0.024961434709285815,0.095564414300176,0.0009174183772816894,0.025361194804876846,0.02050580997949419,2.05058100059518,4.855910914637873
13,125.0,129.0,1245.87,4.9,7.6,2.7,30,9.6,6.93e-05,0.9574164545371829,9191.197963556957,0.02038741733234686,0.06470532352336894,0.0006211711058243418,0.02073315197384532,0.014430014430014428,1.4430014467612085,4.273508317455015
14,197.0,201.0,1952.19,7.6,10.8,3.2,30,9.6,8.213333333333333e-05,1.1347157979699944,10893.271660511946,0.02274254905743182,0.08060268659264311,0.0007737857912893738,0.022989314498738114,0.012175324675324676,1.2175324719884861,3.1596968354351276
15,264.0,267.0,2604.555,10.8,14.2,3.4,30,9.6,8.726666666666667e-05,1.2056355353431192,11574.101139293945,0.026877737725574682,0.10982115614130764,0.0010542830989565533,0.027056837395180475,0.011459129106187928,1.1459129153533125,2.5579442440694375
16,305.0,308.0,3006.765,14.2,18.4,4.2,30,9.6,0.0001078,1.489314484835618,14297.419054421931,0.020333770544813976,0.06469799546956936,0.0006211007565078659,0.020543971044339044,0.009276437847866418,0.9276437906351661,2.1009445960987265
17,433.0,437.0,4267.35,18.4,23.7,5.3,30,9.6,0.00013603333333333332,1.8793730403878033,18041.98118772291,0.018122726577247988,0.05090326529130038,0.0004886713467964837,0.01831398529383555,0.0073511394266111245,0.7351139500413931,1.738092376847861
